Course_Code,Course_Title,2021_Points_R1,2021_Points_R2,2020_Points_R1,2020_Points_R2,2019_Points_R1,2019_Points_R2
AC120,International Business                            ,294  ,294,209,,269.0,234
AC137,Liberal Arts                                      ,271  ,270,252,,275.0,252
AD101,First Year Art and Design (Common Entry portfolio),#554 ,,#+matric,,550.0,# +mat
AD102,Graphic Design and Moving Image Design (portfolio),#538 ,,#+matric,,635.0,# +mat
AD103,Textile & Surface Design and Jewellery & Objects,#505 ,,#+matric,,545.0,# +mat
AD202,Education and Design or Fine Art (Second Level Tea,#591 ,,#+matric,,580.0,# +mat
AD204,Fine Art (portfolio)                              ,#514 ,,#+matric,,600.0,# +mat
AD211,Fashion Design,#760 ,#679,#+matric,,600.0,# +mat
AD212,Product Design,#413 ,,#+matric,,600.0,# +mat
AD215,Visual Culture                                    ,337  ,300,377,320,338.0,300
AD217,Illustration (portfolio)                          ,#738 ,,#+matric,,625.0,# +mat
AD222,Interaction Design (portfolio)                    ,#444 ,,#+matric,,657.0,# +mat
AL600,Software Design,,,AQA,,,
AL601,Computer Engineering,,,AQA,219,,
AL604,Civil Engineering,,,AQA,AQA,,
AL630,Pharmacy Technician,,,295,,,
AL631,Dental Nursing,,,300,298,,
AL632,Applied Science,,,234,,,
AL650,Business,,,207,,,
AL701,Computer Engineering with Network Infrastructure,,,216,,,
AL702,Software Design with Artificial Intelligence for Cloud Computing,,,214,,,
AL704,Computer Engineering,,,204,,,
AL710,Mechanical Engineering,,,223,,,
AL711,Mechanical Engineering and Renewable Energy,,,228,,,
AL712,Automation and Robotics,,,252,,,
AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),,,218,,,
AL721,Civil Engineering,,,233,,,
AL730,Biotechnology,,,250,,,
AL731,Veterinary Nursing,,,400,,,
AL734,Pharmaceutical Sciences (Drug Development and Analysis),,,244,,,
AL751,Digital Marketing,,,241,,,
AL752,Business,,,225,,,
AL761,Hotel and Leisure Management,,,208,,,
AL763,Graphic Design (portfolio),,,781,,,
AL764,Early Years Care and Education,,,260,,,
AL765,Applied Social Studies in Social Care,,,280,,,
AL801,Software Design for Virtual Reality and Gaming    ,300  ,,303,,328.0,304
AL802,Software Design in Artificial Intelligence for Clo,313  ,,332,,306.0,301
AL803,Software Design with Mobile Apps and Connected Devices,350  ,,337,,337.0,309
AL805,Computer Engineering for Network Infrastructure   ,321  ,,333,,442.0,329
AL810,Quantity Surveying                                ,328  ,,319,,349.0,307
AL811,Civil Engineering                                    ,,,320,,,
AL820,Mechanical and Polymer Engineering,327  ,,308,,358.0,300
AL830,General Nursing,451* ,444,442,,429.0,410
AL832,Mental Health Nursing                             ,440* ,431,387,384,403.0,387
AL835,Pharmacology                                      ,356  ,,,,,
AL836,Nutrition and Health Science,346  ,,334,,383.0,352
AL837,Sports Science with Exercise Physiology,357  ,,351,,392.0,351
AL838,Biotechnology,324  ,,307,,372.0,302
AL839,Microbiology                                      ,325  ,,325,,371.0,322
AL840,Pharmaceutical Sciences                           ,346  ,,347,,411.0,328
AL841,Athletic and Rehabilitation Therapy               ,477  ,476*,430,,430.0,423
AL842,Bioveterinary Science,338  ,,313,,366.0,310
AL843,Physical Activity and Health Science              ,306  ,,306,,330.0,310
AL849,Culinary Entrepreneurship                         ,297  ,,,,,
AL850,Business                                          ,309  ,,309,,356.0,307
AL851,Business and Law                                  ,302  ,,295,,341.0,301
AL852,Accounting,336  ,,309,,346.0,290
AL853,Accounting and Law,,,,,320.0,305
AL854,Sport Management (with international placement)   ,300  ,299,302,299,,
AL855,Hospitality Management (with international placeme,309  ,,308,,357.0,312
AL857,Digital Marketing                                 ,304  ,,304,,360.0,300
AL859,International Business                            ,308  ,,,,,
AL860,Social Care Practice,301  ,,300,,338.0,309
AL861,Animation and Illustration (portfolio)            ,#575 ,,578,,899.0,#615
AL863,Graphic and Digital Design (portfolio)            ,#747 ,,781,,898.0,#703
AL864,Early Years Care and Education,306  ,,307,,348.0,307
AL870,Applied Psychology,484* ,467*,418,,445.0,409
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",542  ,533,510,,497.0,456*
AS002,Education  Home Economics and Religious Ed - with ,464  ,452*,441,434,433.0,400*
AS003,Education  Home Economics and Irish - with concurr,463* ,457,440,440,457.0,421
AS051,Nutrition  Food and Business Management           ,378  ,347,328,317,399.0,337
AS054,Home Economics,440* ,419*,408,398,401.0,387
AS110,General Nursing                                   ,440* ,432,419,,409.0,391*
AS130,Intellectual Disability Nursing                   ,387  ,358,336,328,338.0,317
BN101,Business,,,,,289.0,252
BN103,Business and Information Technology,,,,,290.0,254
BN104,Computing (Information Technology),,,,,293.0,260
BN107,Applied Social Studies in Social Care,,,,,328.0,300
BN108,Engineering (Common Entry with Award options),,,,,318.0,271
BN109,Business (Common Entry with Award options),,,,,279.0,260
BN110,International Business,,,,,308.0,253
BN111,Sports Management and Coaching,,,,,298.0,270
BN112,Creative Digital Media,,,,,329.0,280
BN113,Horticulture,,,,,321.0,289
BN114,Accounting and Finance,,,,,332.0,280
BN115,Community and Youth Development,,,,,298.0,250
BN117,Computer Engineering in Mobile Systems,,,,,311.0,273
BN118,Early Childhood Care and Education,,,,,320.0,290
BN119,Digital Marketing,,,,,308.0,270
BN120,Digital Forensics and Cyber Security,,,,,326.0,281
BN121,Mechatronic Engineering,,,,,340.0,276
BN123,"Design,Technology and Innovation",,,,,318.0,297
BY001,Business                                          ,210  ,210,,,,
CI001,Counselling Skills and Psychotherapy Studies,,,300,,,
CI002,Counselling Skills and Addiction Studies,,,309,,,
CI005,Counselling Skills and Youth Studies,,,306,302,,
CI101,Counselling and Psychotherapy (Limerick),,,,,328.0,276
CI110,Counselling and Psychotherapy                     ,292  ,,310,,,
CI111,Counselling and Psychotherapy with Addiction Studi,290  ,,301,,,
CI112,Counselling and Youth Studies,325  ,,311,,,
CK101,Arts - 3 years,300  ,,300,,368.0,300
CK102,Social Science,434  ,431,412,,431.0,391
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,#339 ,,302,,409.0,#340
CK105,Film and Screen Media - 3 years or 4 years (Intern,421  ,420*,368,337,442.0,397
CK107,Geographical and Archaeological Sciences - 3 or 4 ,312  ,,328,,388.0,326
CK108,Arts International - 4 years,440* ,440,401,,466.0,429
CK109,English - 3 years or 4 years (International Pathwa,367  ,357,318,,423.0,347
CK110,World Languages                                   ,488  ,,452,433,506.0,456
CK111,Early Years and Childhood Studies                 ,409  ,403,419,,429.0,398
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),#371 ,,330,,470.0,#324
CK113,Criminology - 3 years or 4 years (International Pathway),464  ,463,423,,430.0,408
CK114,Social Science (Youth and Community Work)         ,#    ,,,,,#
CK115,Social Work - Mature Applicants only                 ,,,,,,#
CK116,Sports Studies and Physical Education,,,,,520.0,499
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),347  ,339,336,,361.0,307
CK120,Applied Psychology,544  ,543*,533,532,532.0,506
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499  ,488,466,,466.0,393
CK122,Government and Political Science                  ,399  ,,337,328,410.0,355
CK123,Anthropology                                      ,308  ,,308,,,
CK124,Education - Gaeilge,473  ,,463,462,,
CK125,Sports Studies and Physical Education,564  ,555*,510,509,,
CK201,Commerce                                          ,500  ,499*,477,,489.0,465*
CK202,Accounting                                        ,553  ,543*,509,,506.0,467
CK203,Business Information Systems                      ,455  ,452,430,,444.0,409
CK204,Finance                                           ,566* ,566*,556,,555.0,531
CK205,Commerce (International) with French,465  ,,445,,473.0,409
CK206,Commerce (International) with German              ,466  ,455,420,418,446.0,408
CK207,Commerce (International) with Italian             ,423  ,418,388,,425.0,408
CK208,Commerce (International) with Hispanic Studies,488  ,486,402,,455.0,431
CK209,Commerce (International) with Irish,507  ,,484,,528.0,509
CK211,Commerce (International) with Chinese Studies     ,385  ,,397,,420.0,398
CK212,Economics (through Transformational Learning) 3 or,445  ,444,444,,429.0,400
CK213,Food Marketing and Entrepreneurship               ,466  ,,462,,,
CK214,International Development                         ,332  ,,346,,,
CK301,Law (Pathways) -  3 or 4 years,533  ,532*,507,499,519.0,476
CK302,Law and French                                    ,545  ,,542,,531.0,453
CK304,Law and Irish                                     ,588  ,,540,,510.0,462
CK307,Law and Business                                  ,589* ,589*,556,,554.0,522
CK401,Computer Science,503  ,495,468,,456.0,402
CK402,Biological and Chemical Sciences                  ,555* ,555,510,509,520.0,498
CK404,Biological  Earth and Environmental Sciences      ,500  ,495*,467,,451.0,412
CK405,Genetics                                          ,543  ,,487,,496.0,476
CK406,Chemical Sciences,532  ,,485,472,488.0,457
CK407,Mathematical Sciences                             ,566  ,,566,565,578.0,531
CK408,Physics and Astrophysics                          ,566  ,,554,542,566.0,511
CK409,Industrial Physics - Offered jointly by UCC and CI,465  ,,432,,532.0,413
CK411,Data Science and Analytics,531  ,,510,,542.0,509
CK412,Agricultural Science                              ,506  ,,496,496,509.0,457
CK502,Food Marketing and Entrepreneurship,,,,,456.0,433
CK504,Nutritional Sciences                              ,555  ,554*,518,,509.0,492
CK505,Food Science,463  ,,441,440,477.0,444
CK506,International Development and Food Policy,,,,,410.0,367
CK600,Engineering,510  ,509*,487,,532.0,465
CK606,Architecture - Offered jointly by UCC and CIT     ,543  ,,484,476,496.0,465
CK701,Medicine (Undergraduate Entry - HPAT required),#738 ,#737*,731,,740.0,#729
CK702,Dentistry,625* ,625*,613,613,613.0,590
CK703,Pharmacy,613* ,613*,590,589,589.0,577
CK704,Occupational Therapy                              ,601* ,,566,555,554.0,532*
CK705,Speech and Language Therapy                       ,568  ,566*,520,,529.0,509
CK706,Public Health Sciences                            ,500  ,,454,,451.0,419
CK707,Medical and Health Sciences,578* ,,542,541,543.0,510*
CK710,General Nursing                                   ,498* ,497*,454,,466.0,440
CK712,Children`s and General Nursing (Integrated)       ,565  ,,533,,520.0,499
CK720,Mental Health Nursing                             ,455  ,452,423,,429.0,398
CK730,Intellectual Disability Nursing                   ,431  ,,419,411,388.0,359
CK740,Midwifery,509* ,,484,,474.0,444
CK791,Medicine  - Graduate Entry (GAMSAT required)      ,#60* ,#60*,57,,59.0,#58*
CM001,Education - Primary Teaching                      ,508  ,,484,,462.0,452*
CM002,Education - Primary Teaching - Gaeltacht Applicants,#462 ,,,,440.0,#421
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,#513 ,,528,,506.0,#491
CM004,Oideachas - Bunmh�inteoireacht Tr� Mhe�n na Gaeilg,#480 ,,494,,569.0,#492
CM010,Education Studies,382  ,327,319,,373.0,317
CM020,Early Childhood Education,317  ,,327,,363.0,336
CR006,Applied Biosciences,,,361,,,
CR007,Analytical and Pharmaceutical Chemistry,,,240,,,
CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),,,321,,,
CR016,Software Development,,,307,,,
CR021,Business (Common Entry),,,255,,,
CR022,Business Administration,,,190,,,
CR031,Social Care Work,,,346,,,
CR032,Recreation and Leisure Management,,,298,,,
CR035,Community Development,,,100,,,
CR051,Civil Engineering,,,248,,,
CR052,Construction,,,251,,,
CR053,Interior Architecture,,,308,,,
CR055,Environmental Engineering,,,258,,,
CR071,Mechanical Engineering,,,261,,,
CR075,Biomedical Engineering,,,306,,,
CR090,Architectural Technology,,,266,,,
CR094,Nautical Science at National Maritime College of Ireland,,,243,,,
CR105,Chemical and Biopharmaceutical Engineering        ,443  ,,443,,498.0,432
CR106,Software Development,431  ,,411,,393.0,351
CR108,Mechanical Engineering                            ,434  ,,434,,487.0,425
CR109,Structural Engineering                            ,396  ,,394,,467.0,341
CR110,Automotive Business Management and Technology     ,336  ,,311,,347.0,318
CR112,Creative Digital Media,390  ,,361,,389.0,335
CR116,Computer Systems                                  ,365  ,,332,,381.0,318
CR121,Music at CIT Cork School of Music                 ,#904 ,#904,868,,1052.0,#633
CR125,Popular Music at CIT Cork School of Music         ,#1028,,1088,,1021.0,#972
CR126,Popular Music: Drums at CIT Cork School of Music,,,801,,1043.0,#878
